nodeid,lat,long
174,40.7529,-73.9756
175,40.7412,-73.9852
176,40.7519,-73.9935
177,40.748,-73.9828
178,40.7211,-73.9963
179,40.733,-74.0071
180,40.7382,-73.9879
181,40.7801,-73.957
182,40.7519,-73.9745
183,40.783,-73.9575
184,40.7851,-73.9538
185,40.7649,-73.9684
186,40.7555,-73.968
187,40.7531,-74.004
188,40.7563,-73.9868
189,40.7381,-74.0063
190,40.7543,-73.9658
191,40.7383,-73.9805
192,40.7661,-73.9945
193,40.7737,-73.9839
194,40.7355,-73.9939
195,40.7716,-73.8715
196,40.7315,-73.9824
197,40.7214,-73.9923
198,40.7473,-73.986
199,40.7422,-74.0046
200,40.7492,-73.9752
201,40.775,-73.9588
202,40.7622,-73.9842
203,40.7576,-73.9753
204,40.7584,-73.9858
205,40.6901,-74.178
206,40.7593,-73.961
207,40.7892,-73.9664
208,40.712,-73.9975
209,40.7636,-73.9562
210,40.7474,-73.985
211,40.7383,-73.974
212,40.7657,-73.9908
213,40.7345,-74.0023
214,40.7646,-73.9772
215,40.7205,-74.0085
216,40.7606,-73.9762
217,40.7778,-73.9859
218,40.756,-73.9672
219,40.7782,-73.9503
220,40.7469,-74.0042
221,40.7402,-73.9876
222,40.7726,-73.9821
223,40.7657,-73.9783
224,40.7231,-74.0029
225,40.7156,-74.0156
226,40.7399,-73.9827
227,40.7703,-73.958
228,40.7631,-73.9676
229,40.7828,-73.9509
230,40.7567,-73.9787
231,40.7647,-73.9308
232,40.7223,-73.9863
233,40.7601,-73.9705
234,40.7547,-73.9735
235,40.7363,-73.9769
236,40.7819,-73.9792
237,40.7777,-73.986
238,40.7694,-73.9649
239,40.7765,-73.9567
240,40.7703,-73.9573
241,40.7443,-73.9762
242,40.7415,-73.9895
243,40.7616,-73.9253
244,40.7708,-73.8854
245,40.7601,-73.9702
246,40.7851,-73.9559
247,40.7903,-73.9522
248,40.7558,-73.9648
249,40.7062,-73.9281
250,40.7364,-73.9941
251,40.7493,-73.9918
252,40.7239,-73.9926
253,40.7724,-73.9486
254,40.7793,-73.9504
255,40.7271,-73.9827
256,40.8266,-73.9505
257,40.8061,-73.953
258,40.7909,-73.9512
259,40.7622,-73.9677
260,40.7318,-74.0034
261,40.7641,-73.9729
262,40.7786,-73.9855
263,40.7703,-73.9804
264,40.7243,-73.9959
265,40.7445,-73.999
266,40.7379,-74.0044
267,40.7232,-73.9857
268,40.7241,-73.9789
269,40.6398,-73.9999
